region,date,consumption
Bretagne,2013-01-01,2595
Bretagne,2013-01-02,3195
Bretagne,2013-01-03,3157
Bretagne,2013-01-04,3142
Bretagne,2013-01-05,2859
Bretagne,2013-01-06,2794
Bretagne,2013-01-07,3398
Bretagne,2013-01-08,3434
Bretagne,2013-01-09,3382
Bretagne,2013-01-10,3311
Bretagne,2013-01-11,3382
Bretagne,2013-01-12,3070
Bretagne,2013-01-13,3160
Bretagne,2013-01-14,3559
Bretagne,2013-01-15,3598
Bretagne,2013-01-16,3704
Bretagne,2013-01-17,3953
Bretagne,2013-01-18,4091
Bretagne,2013-01-19,3852
Bretagne,2013-01-20,3561
Bretagne,2013-01-21,3848
Bretagne,2013-01-22,3745
Bretagne,2013-01-23,3715
Bretagne,2013-01-24,3699
Bretagne,2013-01-25,4108
Bretagne,2013-01-26,3281
Bretagne,2013-01-27,2800
Bretagne,2013-01-28,3438
Bretagne,2013-01-29,3289
Bretagne,2013-01-30,3058
Bretagne,2013-01-31,3190
Bretagne,2013-02-01,3218
Bretagne,2013-02-02,3070
Bretagne,2013-02-03,3075
Bretagne,2013-02-04,3230
Bretagne,2013-02-05,3550
Bretagne,2013-02-06,3719
Bretagne,2013-02-07,3829
Bretagne,2013-02-08,3661
Bretagne,2013-02-09,3267
Bretagne,2013-02-10,2922
Bretagne,2013-02-11,3287
Bretagne,2013-02-12,3629
Bretagne,2013-02-13,3537
Bretagne,2013-02-14,3186
Bretagne,2013-02-15,3336
Bretagne,2013-02-16,2994
Bretagne,2013-02-17,2891
Bretagne,2013-02-18,3263
Bretagne,2013-02-19,3478
Bretagne,2013-02-20,3499
Bretagne,2013-02-21,3739
Bretagne,2013-02-22,3846
Bretagne,2013-02-23,3819
Bretagne,2013-02-24,3537
Bretagne,2013-02-25,3738
Bretagne,2013-02-26,3750
Bretagne,2013-02-27,3786
Bretagne,2013-02-28,3760
Bretagne,2013-03-01,3799
Bretagne,2013-03-02,3547
Bretagne,2013-03-03,3357
Bretagne,2013-03-04,3521
Bretagne,2013-03-05,3252
Bretagne,2013-03-06,2995
Bretagne,2013-03-07,2919
Bretagne,2013-03-08,2829
Bretagne,2013-03-09,2513
Bretagne,2013-03-10,2436
Bretagne,2013-03-11,3451
Bretagne,2013-03-12,4086
Bretagne,2013-03-13,3993
Bretagne,2013-03-14,3608
Bretagne,2013-03-15,3723
Bretagne,2013-03-16,3117
Bretagne,2013-03-17,2847
Bretagne,2013-03-18,3339
Bretagne,2013-03-19,3454
Bretagne,2013-03-20,3353
Bretagne,2013-03-21,3424
Bretagne,2013-12-22,2616
Bretagne,2013-12-23,3073
Bretagne,2013-12-24,2785
Bretagne,2013-12-25,2717
Bretagne,2013-12-26,3139
Bretagne,2013-12-27,3044
Bretagne,2013-12-28,2965
Bretagne,2013-12-29,2862
Bretagne,2013-12-30,3067
Bretagne,2013-12-31,2992
Bretagne,2014-01-01,2772
Bretagne,2014-01-02,3010
Bretagne,2014-01-03,3052
Bretagne,2014-01-04,2961
Bretagne,2014-01-05,2881
Bretagne,2014-01-06,3090
Bretagne,2014-01-07,3169
Bretagne,2014-01-08,3192
Bretagne,2014-01-09,3191
Bretagne,2014-01-10,3408
Bretagne,2014-01-11,2917
Bretagne,2014-01-12,2804
Bretagne,2014-01-13,3305
Bretagne,2014-01-14,3516
Bretagne,2014-01-15,3327
Bretagne,2014-01-16,3327
Bretagne,2014-01-17,3356
Bretagne,2014-01-18,2966
Bretagne,2014-01-19,2918
Bretagne,2014-01-20,3558
Bretagne,2014-01-21,3611
Bretagne,2014-01-22,3254
Bretagne,2014-01-23,3551
Bretagne,2014-01-24,3338
Bretagne,2014-01-25,2711
Bretagne,2014-01-26,2745
Bretagne,2014-01-27,3464
Bretagne,2014-01-28,3596
Bretagne,2014-01-29,3611
Bretagne,2014-01-30,3476
Bretagne,2014-01-31,3697
Bretagne,2014-02-01,3082
Bretagne,2014-02-02,2950
Bretagne,2014-02-03,3388
Bretagne,2014-02-04,3489
Bretagne,2014-02-05,3613
Bretagne,2014-02-06,3556
Bretagne,2014-02-07,3344
Bretagne,2014-02-08,3074
Bretagne,2014-02-09,3035
Bretagne,2014-02-10,3239
Bretagne,2014-02-11,3456
Bretagne,2014-02-12,3532
Bretagne,2014-02-13,3558
Bretagne,2014-02-14,3458
Bretagne,2014-02-15,2907
Bretagne,2014-02-16,2824
Bretagne,2014-02-17,3170
Bretagne,2014-02-18,3238
Bretagne,2014-02-19,3206
Bretagne,2014-02-20,3121
Bretagne,2014-02-21,3288
Bretagne,2014-02-22,2827
Bretagne,2014-02-23,2576
Bretagne,2014-02-24,3006
Bretagne,2014-02-25,3219
Bretagne,2014-02-26,3293
Bretagne,2014-02-27,3255
Bretagne,2014-02-28,3477
Bretagne,2014-03-01,3120
Bretagne,2014-03-02,2885
Bretagne,2014-03-03,3374
Bretagne,2014-03-04,3297
Bretagne,2014-03-05,3026
Bretagne,2014-03-06,3074
Bretagne,2014-03-07,3042
Bretagne,2014-03-08,2476
Bretagne,2014-03-09,2182
Bretagne,2014-03-10,2622
Bretagne,2014-03-11,2789
Bretagne,2014-03-12,2842
Bretagne,2014-03-13,2834
Bretagne,2014-03-14,2889
Bretagne,2014-03-15,2452
Bretagne,2014-03-16,2263
Bretagne,2014-03-17,2665
Bretagne,2014-03-18,2862
Bretagne,2014-03-19,2801
Bretagne,2014-03-20,2823
Bretagne,2014-03-21,2770
Bretagne,2014-12-22,2908
Bretagne,2014-12-23,2951
Bretagne,2014-12-24,2812
Bretagne,2014-12-25,2490
Bretagne,2014-12-26,3011
Bretagne,2014-12-27,2930
Bretagne,2014-12-28,3026
Bretagne,2014-12-29,3695
Bretagne,2014-12-30,3800
Bretagne,2014-12-31,3748
Bretagne,2015-01-01,3171
Bretagne,2015-01-02,2980
Bretagne,2015-01-03,2858
Bretagne,2015-01-04,2540
Bretagne,2015-01-05,3104
Bretagne,2015-01-06,3267
Bretagne,2015-01-07,3550
Bretagne,2015-01-08,3195
Bretagne,2015-01-09,3083
Bretagne,2015-01-10,2640
Bretagne,2015-01-11,2644
Bretagne,2015-01-12,3115
Bretagne,2015-01-13,3086
Bretagne,2015-01-14,3332
Bretagne,2015-01-15,3306
Bretagne,2015-01-16,3441
Bretagne,2015-01-17,3252
Bretagne,2015-01-18,3098
Bretagne,2015-01-19,3565
Bretagne,2015-01-20,3757
Bretagne,2015-01-21,3761
Bretagne,2015-01-22,3680
Bretagne,2015-01-23,3701
Bretagne,2015-01-24,3176
Bretagne,2015-01-25,3129
Bretagne,2015-01-26,3251
Bretagne,2015-01-27,3299
Bretagne,2015-01-28,3355
Bretagne,2015-01-29,3544
Bretagne,2015-01-30,3644
Bretagne,2015-01-31,3381
Bretagne,2015-02-01,3251
Bretagne,2015-02-02,3774
Bretagne,2015-02-03,3788
Bretagne,2015-02-04,3789
Bretagne,2015-02-05,3856
Bretagne,2015-02-06,4056
Bretagne,2015-02-07,3590
Bretagne,2015-02-08,3126
Bretagne,2015-02-09,3507
Bretagne,2015-02-10,3654
Bretagne,2015-02-11,3601
Bretagne,2015-02-12,3646
Bretagne,2015-02-13,3467
Bretagne,2015-02-14,3058
Bretagne,2015-02-15,2864
Bretagne,2015-02-16,3447
Bretagne,2015-02-17,3441
Bretagne,2015-02-18,3424
Bretagne,2015-02-19,3481
Bretagne,2015-02-20,3372
Bretagne,2015-02-21,3152
Bretagne,2015-02-22,3163
Bretagne,2015-02-23,3346
Bretagne,2015-02-24,3526
Bretagne,2015-02-25,3247
Bretagne,2015-02-26,3236
Bretagne,2015-02-27,3333
Bretagne,2015-02-28,2889
Bretagne,2015-03-01,2572
Bretagne,2015-03-02,3093
Bretagne,2015-03-03,3138
Bretagne,2015-03-04,3235
Bretagne,2015-03-05,3218
Bretagne,2015-03-06,3095
Bretagne,2015-03-07,2678
Bretagne,2015-03-08,2398
Bretagne,2015-03-09,2730
Bretagne,2015-03-10,2932
Bretagne,2015-03-11,2903
Bretagne,2015-03-12,2897
Bretagne,2015-03-13,3068
Bretagne,2015-03-14,2921
Bretagne,2015-03-15,2821
Bretagne,2015-03-16,3227
Bretagne,2015-03-17,3053
Bretagne,2015-03-18,2968
Bretagne,2015-03-19,3087
Bretagne,2015-03-20,3271
Bretagne,2015-03-21,2824
Bretagne,2015-12-22,2785
Bretagne,2015-12-23,2727
Bretagne,2015-12-24,2637
Bretagne,2015-12-25,2276
Bretagne,2015-12-26,2283
Bretagne,2015-12-27,2221
Bretagne,2015-12-28,2634
Bretagne,2015-12-29,2683
Bretagne,2015-12-30,2710
Bretagne,2015-12-31,2779
Bretagne,2016-01-01,2614
Bretagne,2016-01-02,2726
Bretagne,2016-01-03,2647
Bretagne,2016-01-04,3140
Bretagne,2016-01-05,3287
Bretagne,2016-01-06,3271
Bretagne,2016-01-07,3186
Bretagne,2016-01-08,3254
Bretagne,2016-01-09,2876
Bretagne,2016-01-10,2755
Bretagne,2016-01-11,3357
Bretagne,2016-01-12,3476
Bretagne,2016-01-13,3625
Bretagne,2016-01-14,3551
Bretagne,2016-01-15,3719
Bretagne,2016-01-16,3326
Bretagne,2016-01-17,3187
Bretagne,2016-01-18,3705
Bretagne,2016-01-19,3815
Bretagne,2016-01-20,3802
Bretagne,2016-01-21,3912
Bretagne,2016-01-22,3514
Bretagne,2016-01-23,3110
Bretagne,2016-01-24,2504
Bretagne,2016-01-25,3006
Bretagne,2016-01-26,3188
Bretagne,2016-01-27,3157
Bretagne,2016-01-28,3167
Bretagne,2016-01-29,3239
Bretagne,2016-01-30,2843
Bretagne,2016-01-31,2562
Bretagne,2016-02-01,2969
Bretagne,2016-02-02,3013
Bretagne,2016-02-03,3241
Bretagne,2016-02-04,3296
Bretagne,2016-02-05,3105
Bretagne,2016-02-06,2764
Bretagne,2016-02-07,2713
Bretagne,2016-02-08,3166
Bretagne,2016-02-09,3381
Bretagne,2016-02-10,3493
Bretagne,2016-02-11,3481
Bretagne,2016-02-12,3290
Bretagne,2016-02-13,2955
Bretagne,2016-02-14,2774
Bretagne,2016-02-15,3423
Bretagne,2016-02-16,3579
Bretagne,2016-02-17,3711
Bretagne,2016-02-18,3517
Bretagne,2016-02-19,3517
Bretagne,2016-02-20,2865
Bretagne,2016-02-21,2557
Bretagne,2016-02-22,2998
Bretagne,2016-02-23,3136
Bretagne,2016-02-24,3411
Bretagne,2016-02-25,3455
Bretagne,2016-02-26,3501
Bretagne,2016-02-27,3216
Bretagne,2016-02-28,3087
Bretagne,2016-02-29,3427
Bretagne,2016-03-01,3399
Bretagne,2016-03-02,3290
Bretagne,2016-03-03,3402
Bretagne,2016-03-04,3291
Bretagne,2016-03-05,3082
Bretagne,2016-03-06,2937
Bretagne,2016-03-07,3381
Bretagne,2016-03-08,3493
Bretagne,2016-03-09,3434
Bretagne,2016-03-10,3433
Bretagne,2016-03-11,3343
Bretagne,2016-03-12,2967
Bretagne,2016-03-13,2740
Bretagne,2016-03-14,3185
Bretagne,2016-03-15,3179
Bretagne,2016-03-16,3119
Bretagne,2016-03-17,3159
Bretagne,2016-03-18,3083
Bretagne,2016-03-19,2882
Bretagne,2016-03-20,2725
Bretagne,2016-03-21,3117
Bretagne,2016-12-22,3164
Bretagne,2016-12-23,3246
Bretagne,2016-12-24,2792
Bretagne,2016-12-25,2501
Bretagne,2016-12-26,2735
Bretagne,2016-12-27,3290
Bretagne,2016-12-28,3570
Bretagne,2016-12-29,3664
Bretagne,2016-12-30,3805
Bretagne,2016-12-31,3726
Bretagne,2017-01-01,3334
Bretagne,2017-01-02,3552
Bretagne,2017-01-03,3984
Bretagne,2017-01-04,4111
Bretagne,2017-01-05,3799
Bretagne,2017-01-06,4046
